Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity,CSRD_Impl
EECH GROUP (XET),D:PTAX,-,27112000,2000,Equities,Xetra,Germany,Euro,Electricity,Eech Group (XETRA),Dead,0.0
EICHBORN (XET),D:EIHX,-,8052000,2000,Equities,Xetra,Germany,Euro,Media,Eichborn (XETRA),Dead,0.0
EINBECKER BRAUHAUS (XET),D:HAKX,-,22121999,1999,Equities,Xetra,Germany,Euro,Beverages,Einbecker Brauhaus (XETRA),Dead,0.0
EIRCOM,671273,-,8071999,1999,Equities,Dublin,Ireland,Euro,Telecommunications Service Providers,Eircom,Dead,1.0
EIRCOM GROUP,28619W,-,18032004,2004,Equities,Dublin,Ireland,Euro,Telecommunications Service Providers,Eircom Group,Dead,1.0
EISEN UND METALL AG,866872,-,14061996,1996,Equities,Deutsche Boerse AG,Germany,German Mark,Unclassified,Eisen und Metall AG,Dead,0.0
EISEN.VERKEHRSMITTEL,929127,-,26091988,1988,Equities,Deutsche Boerse AG,Germany,German Mark,Industrial Transportation,Eisenbahn Verkehrsmittel,Dead,0.0
EJAY (XET),D:EJ1X,-,7082000,2000,Equities,Xetra,Germany,Euro,Software and Computer Services,Ejay (XETRA),Dead,0.0
EKRANAS,LT:EKR,-,2041998,1998,Equities,Lithuania,Lithuania,Lithuanian Lita,Leisure Goods,Ekranas,Dead,1.0
ELANIX BIOTCHS. (XET),D:ELNX,ELNk.DE^D19,15011999,1999,Equities,Xetra,Germany,Euro,Pharmaceuticals and Biotechnology,Elanix Biotechnologies (XETRA),Dead,0.0
ELBSCHLOSS-BRAU. T/O BY 923536 14/05/93,936905,-,1011973,1973,Equities,Hamburg,Germany,German Mark,Beverages,Elbschloss-Brauerei Taken Over by 923536 14/05/93,Dead,0.0
ELDERS IXL (TKS),503875,-,3121990,1990,Equities,Tokyo,Ireland,Japanese Yen,General Industrials,Elders IXL (Tokyo),Dead,1.0
ELEKTRA BECKUM,309873,-,18111993,1993,Equities,Deutsche Boerse AG,Germany,Euro,Industrial Engineering,Elektra Beckum,Dead,0.0
ELEPHANT,G:ATHK,-,30051990,1990,Equities,Athens,Greece,Euro,Retailers,Elephant,Dead,0.0
ELEPHANT SEVEN,D:EPH7,-,27101999,1999,Equities,Deutsche Boerse AG,Germany,Euro,Media,Elephant Seven,Dead,0.0
ELEPHANT SEVEN (XET),D:DA1X,-,1111999,1999,Equities,Xetra,Germany,Euro,Media,Elephant Seven (XETRA),Dead,0.0
ELIA TUNING & DSGN.(XET),D:E4DX,-,9062006,2006,Equities,Xetra,Germany,Euro,Automobiles and Parts,Elia Tuning and Design (XETRA),Dead,0.0
ELITEL TELECOM,ETM,-,17022006,2006,Equities,London,Italy,United Kingdom Pound,Telecommunications Service Providers,Elitel Telecom,Dead,1.0
ELLIOT BULK NAV. (XET),D:NH2X,-,1112007,2007,Equities,Xetra,Germany,Euro,Industrial Transportation,Elliot Bulk Navigation (XETRA),Dead,0.0
ELSA,681179,ELSG.F^G10,12061998,1998,Equities,Deutsche Boerse AG,Germany,Euro,Technology Hardware and Equipment,Elsa,Dead,0.0
ELSFLETHER WERFT,D:EFW3,-,2081991,1991,Equities,Hamburg,Germany,German Mark,Industrial Engineering,Elsflether Werft,Dead,0.0
EMESCO,885350,-,2081993,1993,Equities,Luxembourg,Luxembourg,Swiss Franc,Unclassified,Emesco,Dead,0.0
EMI EUROPEAN MEDIA INV.,D:EIQ,-,17092007,2007,Equities,Deutsche Boerse AG,Germany,Euro,Investment Banking and Brokerage Services,EMI European Media Investment,Dead,0.0
EMIND,D:EMW,EMWG.F^K11,20122006,2006,Equities,Deutsche Boerse AG,Germany,Euro,Software and Computer Services,Emind,Dead,0.0
EMIND (XET),D:EMWX,-,20122006,2006,Equities,Xetra,Germany,Euro,Software and Computer Services,Emind (XETRA),Dead,0.0
EMMET R&J,EMMT,-,16051988,1988,Equities,Dublin,Ireland,Irish Pound,Beverages,Emmet R&J,Dead,1.0
EMPHASIS IT SYSTEMS,G:EMPH,-,4072003,2003,Equities,Athens,Greece,Euro,Software and Computer Services,Emphasis IT Systems,Dead,0.0
EMPRESAS TAGAROPULOS S A,8782M0,-,7032014,2014,Equities,NASDAQ OMX Riga,Latvia,Latvian Lat,Unclassified,Empresas Tagaropulos S A,Dead,1.0
EMPRISE (XET),D:ERIX,-,19071999,1999,Equities,Xetra,Germany,Euro,Software and Computer Services,Emprise (XETRA),Dead,0.0
ENDYSSI,G:ENDY,-,31121996,1996,Equities,Athens,Greece,Euro,Personal Goods,Endyssi,Dead,0.0
ENERGICA MOTOR COMPANY,I:EMC,EMCC.MI^C22,29012016,2016,Equities,Milan,Italy,Euro,Automobiles and Parts,Energica Motor Company,Dead,1.0
ENERGIE-VERSORGUNG,866873,-,14061996,1996,Equities,Deutsche Boerse AG,Germany,German Mark,Unclassified,Energie-Versorgung,Dead,0.0
ENERGY INT.,307252,-,7081991,1991,Equities,Deutsche Boerse AG,Germany,United States Dollar,Technology Hardware and Equipment,Energy Interest,Dead,0.0
