Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity
SEAFIELD,911842,-,30121964,1964,Equities,Dublin,Ireland,Euro,Industrial Transportation,Seafield,Dead
SEDL.GRUND & IM. (XET),D:SPBX,-,29052000,2000,Equities,Xetra,Germany,Euro,Real Estate Investment and Services,Sedlmayr Grund and Immobilien (XETRA),Dead
SEITZ ENZINGER CONVERSION INTO 309735,951401,-,26091988,1988,Equities,Deutsche Boerse AG,Germany,German Mark,Industrial Engineering,Seitz Enzinger Conversion Into 309735,Dead
SEN MON FUND,756196,-,19031991,1991,Equities,Luxembourg,Luxembourg,Luxembourg Franc,Unclassified,Sen Mon Fund,Dead
SENTRYLIGHT (XET),D:3SLX,-,25102007,2007,Equities,Xetra,Germany,Euro,Technology Hardware and Equipment,Sentrylight (XETRA),Dead
SENVION (XET),D:SENX,SENG.DE^A20,22032016,2016,Equities,Xetra,Germany,Euro,Software and Computer Services,Senvion (XETRA),Dead
SER SYSTEMS,D:SDSF,SESG.F^H11,11071997,1997,Equities,Deutsche Boerse AG,Germany,Euro,Software and Computer Services,SER Systems,Dead
SERO ENTSORGUNG (XET),D:SROX,-,12101998,1998,Equities,Xetra,Germany,Euro,Waste and Disposal Services,Sero Entsorgung (XETRA),Dead
SEX FORM,G:SEFO,-,25072000,2000,Equities,Athens,Greece,Euro,Personal Goods,SEX Form,Dead
SHF COMM.TECHS. (XET),D:S4KX,S4KG.DE^J18,4072008,2008,Equities,Xetra,Germany,Euro,Electronic and Electrical Equipment,SHF Communication Technologies (XETRA),Dead
SHIGO ASIA (XET),D:A5XX,-,5052008,2008,Equities,Xetra,Germany,Euro,Household Goods and Home Construction,Shigo Asia (XETRA),Dead
SICIT GROUP,I:SPRI,SICT.MI^H21,21072017,2017,Equities,Milan,Italy,Euro,Chemicals,Sicit Group,Dead
SILDARVINNSLAN,IC:SIL,-,20022001,2001,Equities,NASDAQ OMX Iceland,Iceland,Icelandic Krona,Food Producers,Sildarvinnslan,Dead
SINN LEFFERS (XET),D:WHGX,-,20101998,1998,Equities,Xetra,Germany,Euro,Retailers,Sinn Leffers (XETRA),Dead
SINNER (XET),14818K,-,31102001,2001,Equities,Xetra,Germany,Euro,Real Estate Investment and Services,Sinner (XETRA),Dead
SKAGSTRENDINGUR,IC:SKA,-,15012001,2001,Equities,NASDAQ OMX Iceland,Iceland,Icelandic Krona,Food Producers,Skagstrendingur,Dead
SKALA CERT. (WBO),505255,-,27121991,1991,Equities,Vienna Stock Exchange,Hungary,Austrian Schilling,Unclassified,Skala Certificate (Vienna Stock Exchange),Dead
SKEIE DRILLING (XET),D:SD9X,-,14082008,2008,Equities,Xetra,Germany,Euro,"Oil, Gas and Coal",Skeie Drilling (XETRA),Dead
SKELJUNGUR HF,IC:SKE,-,17042001,2001,Equities,NASDAQ OMX Iceland,Iceland,Icelandic Krona,"Oil, Gas and Coal",Skeljungur HF,Dead
SKW TROSTBERG,143723,-,24051995,1995,Equities,Deutsche Boerse AG,Germany,Euro,Chemicals,SKW Trostberg,Dead
SN MINERAL MINING (XET),D:SEMX,-,29122010,2010,Equities,Xetra,Germany,Euro,Precious Metals and Mining,SN Mineral Mining (XETRA),Dead
SOCFINAL (BRU),540123,-,18031986,1986,Equities,Euronext.liffe Brussels,Luxembourg,Belgian Franc,Investment Banking and Brokerage Services,Socfinal (Brussels),Dead
SOLARPARC (XET),D:WNTX,-,19062001,2001,Equities,Xetra,Germany,Euro,Electricity,Solarparc (XETRA),Dead
SPLITFISH,51446C,54S.F^K11,19122007,2007,Equities,Deutsche Boerse AG,Germany,Euro,Leisure Goods,Splitfish,Dead
SPORTSMAN,G:SPKA,-,10121990,1990,Equities,Athens,Greece,Euro,Personal Goods,Sportsman,Dead
SPV EDELMETALLE,D:P8B,P8BG.F^L12,21122006,2006,Equities,Deutsche Boerse AG,Germany,Euro,Investment Banking and Brokerage Services,SPV Edelmetalle,Dead
STEAG AG,866978,-,14061996,1996,Equities,Deutsche Boerse AG,Germany,German Mark,Unclassified,Steag AG,Dead
STOCKHOLM IT VENT (XET),D:SVABX,SVAB.DE^I19,18092014,2014,Equities,Xetra,Germany,Euro,Software and Computer Services,Stockholm IT Ventures (XETRA),Dead
STUTTGARTER VERS,866950,-,14061996,1996,Equities,Deutsche Boerse AG,Germany,German Mark,Unclassified,Stuttgarter Vers,Dead
STYL GARMENT FACTORY,HN:STY,-,21061991,1991,Equities,Budapest,Hungary,Hungarian Forint,Personal Goods,Styl Garment Factory,Dead
SUEDBODEN,D:S@C,-,1011973,1973,Equities,Deutsche Boerse AG,Germany,Euro,Banks,Suedboden,Dead
SUEDBODEN (XET),295069,-,18052000,2000,Equities,Xetra,Germany,Euro,Banks,Suedboden (XETRA),Dead
SUEDWESTDEUTSCHE,866830,-,14061996,1996,Equities,Deutsche Boerse AG,Germany,German Mark,Unclassified,Suedwestdeutsche,Dead
SUNDAY TRIB. (DUB),953654,-,9101987,1987,Equities,Dublin,Ireland,Irish Pound,Unclassified,Sunday Tribune (Irish),Dead
SWING ENTM.MEDIA,D:SGV,-,1022000,2000,Equities,Deutsche Boerse AG,Germany,Euro,Software and Computer Services,Swing Entertainment Media,Dead
SYSTAIC (OTC),54051D,SYSCF.PK^D12,29092009,2009,Equities,Non NASDAQ OTC,Germany,United States Dollar,Alternative Energy,Systaic (Non-NASDAQ OTC),Dead
SYSTEMATICS,D:YYS,-,24091999,1999,Equities,Deutsche Boerse AG,Germany,Euro,Software and Computer Services,Systematics,Dead
T M G GROUP (D),901881,-,22121982,1982,Equities,London,Ireland,Irish Pound,Unquoted equities,T M G Group (D),Dead
TANGI HF,IC:TAN,-,7092000,2000,Equities,NASDAQ OMX Iceland,Iceland,Icelandic Krona,Food Producers,Tangi HF,Dead
TECHEM,D:TNH@,-,23022000,2000,Equities,Deutsche Boerse AG,Germany,Euro,Finance and Credit Services,Techem,Dead
TELDAFAX,681674,-,30061998,1998,Equities,Hamburg,Germany,Euro,Telecommunications Service Providers,Teldafax,Dead
TELDAFAX (XET),D:TFXX,-,12101998,1998,Equities,Xetra,Germany,Euro,Telecommunications Service Providers,Teldafax (XETRA),Dead
TELE COLUMBUS (XET),D:TC1X,TC1n.DE^I21,14042015,2015,Equities,Xetra,Germany,Euro,Telecommunications Service Providers,Tele Columbus (XETRA),Dead
